Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Blue Jays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Blue Jays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Blue Jays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,,Top of the 1st Blue Jays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Blue Jays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Blue Jays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Blue Jays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Blue Jays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Blue Jays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Blue Jays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Blue Jays Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3
t1,0-0,0,"['', '', '']",4(1-2) CBSX,O,TOR,R. Johnson,C. Schilling,2%,52%,Flyball: RF (Deep CF-RF)
t1,0-0,1,"['', '', '']",2(1-0) BX,,TOR,F. Catalanotto,C. Schilling,-2%,50%,Single to CF (Ground Ball)
t1,0-0,1,"['Catalanotto', '', '']",5(2-2) CBFBX,,TOR,V. Wells,C. Schilling,-3%,47%,Single to CF (Line Drive); Catalanotto to 2B
t1,0-0,1,"['Wells', 'Catalanotto', '']",4(1-2) SSBS,O,TOR,C. Delgado,C. Schilling,4%,51%,Strikeout Swinging
t1,0-0,2,"['Wells', 'Catalanotto', '']",5(2-2) SCBBS,O,TOR,J. Phelps,C. Schilling,4%,55%,Strikeout Swinging
,,,,,,,,,0 runs 2 hits 0 errors 2 LOB. Blue Jays 0 Red Sox 0.,0 runs 2 hits 0 errors 2 LOB. Blue Jays 0 Red Sox 0.,0 runs 2 hits 0 errors 2 LOB. Blue Jays 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,,Bottom of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3
b1,0-0,0,"['', '', '']",5(3-1) BBCBB,,BOS,M. Bellhorn,M. Batista,3%,58%,Walk
b1,0-0,0,"['Bellhorn', '', '']",2(0-1) CX,O,BOS,B. Mueller,M. Batista,-3%,55%,Lineout: SS
b1,0-0,1,"['Bellhorn', '', '']",4(3-0) BBBB,,BOS,D. Ortiz,M. Batista,3%,59%,Walk; Bellhorn to 2B
b1,0-0,1,"['Ortiz', 'Bellhorn', '']",2(1-0) BX,R,BOS,M. Ramirez,M. Batista,12%,71%,Double to RF (Line Drive to Deep RF Line); Bellhorn Scores; Ortiz to 3B
b1,1-0,1,"['', 'Ramirez', 'Ortiz']",1(0-0) X,RO,BOS,K. Millar,M. Batista,0%,71%,Flyball: RF/Sacrifice Fly (Deep RF); Ortiz Scores; Ramirez to 3B
b1,2-0,2,"['', '', 'Ramirez']",5(3-1) BC*B*BB,,BOS,J. Varitek,M. Batista,1%,72%,Walk
b1,2-0,2,"['Varitek', '', 'Ramirez']",7(2-2) CFFB*BFS,O,BOS,G. Kapler,M. Batista,-4%,68%,Strikeout Swinging
,,,,,,,,,2 runs 1 hit 0 errors 2 LOB. Blue Jays 0 Red Sox 2.,2 runs 1 hit 0 errors 2 LOB. Blue Jays 0 Red Sox 2.,2 runs 1 hit 0 errors 2 LOB. Blue Jays 0 Red Sox 2.
Top of the 2nd Blue Jays Batting Behind 0-2 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Blue Jays Batting Behind 0-2 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Blue Jays Batting Behind 0-2 Red Sox' Curt Schilling facing 6-7-8,,Top of the 2nd Blue Jays Batting Behind 0-2 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Blue Jays Batting Behind 0-2 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Blue Jays Batting Behind 0-2 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Blue Jays Batting Behind 0-2 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Blue Jays Batting Behind 0-2 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Blue Jays Batting Behind 0-2 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Blue Jays Batting Behind 0-2 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Blue Jays Batting Behind 0-2 Red Sox' Curt Schilling facing 6-7-8
t2,0-2,0,"['', '', '']",2(0-1) FX,O,TOR,E. Hinske,C. Schilling,2%,71%,Popfly: 3B
t2,0-2,1,"['', '', '']",1(0-0) X,O,TOR,G. Myers,C. Schilling,2%,72%,Groundout: 1B unassisted
